%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -5361.512942494505, -9413.213659908017, -32574.918279042042, -27954.20920302978, -17158.58485204993, 9132.274583849261, 21822.298684394205, 14759.92974757311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626775627958968E9, 0.0, 2022-09-08 18:52:42.795
120.0, -5352.125209823276, -9397.656845767122, -32559.473223623423, -27939.367644711456, -17158.853072983395, 9147.71963926788, 21778.131637350518, 14770.59152967829, -18879.266843708378, -11709.140146868247, -21385.590301226413, -32018.493952571625, 1000.598192286276, -14991.717337574642, -7672.728022662166, -12373.881026969078, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626775627959025E9, 0.0, 2022-09-08 18:52:42.795
122.0, -5344.570320197382, -9393.030034664875, -32546.66567405053, -27932.036272530113, -17153.086322913925, 9154.693383537935, 21842.236440448338, 14765.383573220202, -18863.53121561184, -11699.305379307913, -21366.90424286178, -32006.848693710413, 1014.0539424483708, -14974.975880977618, -7654.041964297529, -12356.089038382655, 0.242, 0.894, 0.328, 192.0, 3.5, 72.0, 13.5, 120.0, 5.0, 32.0, 0.0, 0.0, 0.0, 1.6626775627959073E9, 0.0, 2022-09-08 18:52:42.795
124.0, -5353.063983090399, -9403.870630725698, -32553.6841218095, -27933.80206034208, -17152.683991513728, 9143.271642121274, 21790.11217237856, 14742.696552598067, -18864.425285390054, -11685.939036123638, -21362.32213524844, -32002.937138430734, 1015.1268261822256, -14970.036145452994, -7651.762086363088, -12358.905358184023, 0.242, 0.894, 0.328, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.662677562795912E9, 0.0, 2022-09-08 18:52:42.795
126.0, -5355.522674980482, -9401.52369755789, -32550.21960141893, -27932.57271439704, -17151.700514757697, 9148.032563690253, 21823.17040242796, 14755.124122515217, -18863.173587700556, -11692.17517282667, -21375.576719710436, -32004.255891353598, 1011.9305267251167, -14964.157636661248, -7655.427772453759, -12362.794561719247, 0.242, 0.894, 0.328, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626775627959163E9, 0.0, 2022-09-08 18:52:42.795
128.0, -5357.579035470371, -9403.28948536986, -32548.878496751608, -27934.42790918683, -17140.748159974595, 9142.24346187633, 21852.94292604243, 14748.01626777843, -18871.801361060305, -11709.788347457452, -21383.399830269795, -32007.072211154966, 1003.5039190654659, -14963.10710467185, -7653.952557319708, -12369.254215866831, 0.242, 0.894, 0.328, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626775627959208E9, 0.0, 2022-09-08 18:52:42.795
130.0, -5348.39246849924, -9394.90758119912, -32549.01260721834, -27930.494002162697, -17146.559613532976, 9155.632156805057, 21859.581394145658, 14805.147326606195, -18867.30866042479, -11705.429757288666, -21379.823551156947, -31994.82345519346, 1002.0063521869603, -14967.286880884993, -7648.431676439247, -12369.142457144555, 0.242, 0.894, 0.328, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626775627959254E9, 0.0, 2022-09-08 18:52:42.795
132.0, -5346.626680687271, -9389.118479385195, -32552.00774097535, -27930.62811262943, -17148.39245657831, 9141.461150820393, 21807.479477820336, 14774.860712869253, -18872.02487850486, -11683.994434356027, -21375.12968482133, -31988.22969057914, 997.8489277182732, -14957.139188902282, -7655.5618829204905, -12380.20657064993, 0.246, 0.892, 0.326, 192.0, 3.5, 88.0, 13.5, 112.0, 5.0, 24.0, 0.0, 0.0, 0.0, 1.66267756279593E9, 0.0, 2022-09-08 18:52:42.795
134.0, -5342.178683540665, -9377.89790366863, -32547.7832612733, -27934.04792953109, -17145.665543754763, 9152.547616070226, 21806.674815019946, 14825.018027426962, -18859.887881265626, -11695.706748450608, -21377.297804033497, -31982.61940272086, 994.3173520943346, -14959.620232536821, -7655.785400365044, -12381.078288683688, 0.246, 0.892, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626775627959344E9, 0.0, 2022-09-08 18:52:42.795
136.0, -5338.892977105735, -9380.937740914553, -32537.523810568313, -27934.964351053757, -17124.140813844304, 9151.519435825281, 21813.715614523368, 14818.245448857004, -18859.887881265626, -11678.562960453388, -21373.788580154014, -31977.0985218404, 1004.8450237327843, -14956.669802268721, -7644.453065926203, -12374.015137435812, 0.246, 0.892, 0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.662677562795939E9, 0.0, 2022-09-08 18:52:42.795
