%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -31289.514158906244, -29078.50194913172, -33406.269062312735, -25897.69225093034, -30325.9081036935, -28341.02849257332, -34857.90310596265, -29563.288934622877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590450244E9, 0.0, 2023-01-07 14:37:39.045
62.0, -31317.453839475376, -29094.639908628455, -33437.24858012779, -25889.198588037325, -30338.51448756629, -28337.385158227105, -34884.72519930902, -29553.99060892947, -25269.58587999176, -3761.105687750064, -33389.39349524897, -35214.033450369054, -18366.517825903633, -18491.486429153258, -32415.840913753622, -31269.598754596565, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045031E9, 0.0, 2023-01-07 14:37:39.045
64.0, -31301.651156145475, -29088.537882392156, -33407.90073965797, -25900.709736431807, -30328.344443839127, -28356.071216591743, -34875.3821701267, -29582.936117999092, -25279.979441163476, -3703.818166711112, -33383.202062034856, -35148.78870830402, -18352.92796527481, -18475.951966756817, -32404.866207226063, -31228.113916887512, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045036E9, 0.0, 2023-01-07 14:37:39.045
66.0, -31320.851304632582, -29103.20062675484, -33432.53236204772, -25892.104314816515, -30351.210278416907, -28345.789414142302, -34880.27720216241, -29562.596030544762, -25278.19130160705, -3773.9355890674105, -33393.61797495103, -35228.47267728719, -18365.511997403144, -18500.76240310221, -32417.047907954206, -31286.876653060517, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045041E9, 0.0, 2023-01-07 14:37:39.045
68.0, -31282.026324513714, -29066.074379214573, -33393.77443716222, -25877.329811731557, -30320.655443746502, -28323.437669686995, -34838.36768130871, -29548.112100137725, -25279.644164996644, -3686.7637856917127, -33375.75893113124, -35134.52829534153, -18354.87256704242, -18453.13083566795, -32390.94107043041, -31209.517265500697, -0.092, 0.452, -0.14, 192.0, 125.0, 32.0, 14.0, 32.0, 123.5, 32.0, 0.0, 0.0, 0.0, 1.673120259045046E9, 0.0, 2023-01-07 14:37:39.045
70.0, -31313.85520861807, -29090.03544927066, -33426.51974278924, -25887.186931036347, -30346.71757778139, -28328.198591255976, -34856.94198095107, -29548.022693159903, -25261.13692058765, -3744.4089346419496, -33374.64134390847, -35204.958642120204, -18363.656802613354, -18470.56519634309, -32389.823483207645, -31257.439405612877, -0.092, 0.452, -0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045051E9, 0.0, 2023-01-07 14:37:39.045
72.0, -31311.016537072246, -29089.096676003537, -33422.02704215372, -25890.45028572682, -30338.46978407738, -28327.818611600236, -34860.78648099738, -29558.796233987363, -25301.68298502958, -3678.471288498794, -33391.025172594214, -35138.08222270992, -18382.991061567194, -18460.126931682462, -32396.618413522057, -31207.483256755266, -0.092, 0.452, -0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045056E9, 0.0, 2023-01-07 14:37:39.045
74.0, -31321.790077899706, -29096.60686214052, -33432.71117600336, -25890.092657815538, -30354.250115662828, -28328.533867422804, -34859.1771553966, -29559.04210317637, -25280.158255119117, -3752.1202864790307, -33393.37210576202, -35223.01885164009, -18385.561512179556, -18482.098696482026, -32405.201483392895, -31265.553088850153, -0.092, 0.452, -0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590450609E9, 0.0, 2023-01-07 14:37:39.045
76.0, -31293.89510081948, -29066.700228059322, -33410.180617592414, -25861.013038279183, -30344.929438224965, -28298.783695552793, -34826.543608491855, -29530.387166784665, -25302.91233097462, -3681.1982013223414, -33389.57230920462, -35131.86843775135, -18387.819038369544, -18454.69545777982, -32391.611622764067, -31191.07707632507, -0.092, 0.452, -0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590450659E9, 0.0, 2023-01-07 14:37:39.045
78.0, -31315.419830729945, -29090.638946370957, -33425.983300922315, -25887.4104484809, -30361.447377377437, -28329.472640689928, -34872.07411194732, -29570.03916144838, -25279.130074874174, -3741.1455799514747, -33376.92122184292, -35203.12579907486, -18379.280671987613, -18476.7119260683, -32389.01882040725, -31240.2732658712, -0.14200000000000002, 0.677, -0.20900000000000002, 192.0, 125.0, 0.0, 14.0, 24.0, 123.5, 40.0, 0.0, 0.0, 0.0, 1.673120259045071E9, 0.0, 2023-01-07 14:37:39.045
80.0, -31302.05348754567, -29073.204585695814, -33419.43423979691, -25866.243346481722, -30340.90612422301, -28312.64177711508, -34862.03817868688, -29547.530954781887, -25309.05906069983, -3683.8804106569783, -33397.0824953416, -35141.7926122895, -18392.937587849807, -18472.12981845496, -32404.03919268122, -31197.93906187285, -0.14200000000000002, 0.677, -0.20900000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045076E9, 0.0, 2023-01-07 14:37:39.045
82.0, -31315.0398510742, -29090.48248415977, -33417.4896380293, -25891.74668690523, -30343.38716785755, -28339.352111739176, -34876.29859164936, -29575.537690584388, -25266.881318912667, -3732.3836961249945, -33377.90469859895, -35202.76817116358, -18374.407991696356, -18473.761495800198, -32391.969250675353, -31240.161507148925, -0.14200000000000002, 0.677, -0.20900000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045081E9, 0.0, 2023-01-07 14:37:39.045
84.0, -31305.20508351387, -29078.27843168717, -33423.43520205441, -25863.695247613818, -30334.938208453445, -28316.35216669466, -34865.12271942171, -29545.76516696992, -25304.09697343075, -3688.529573503682, -33400.681126198906, -35146.33001641393, -18393.58578843901, -18471.32515565457, -32409.291852628216, -31204.21990206479, -0.14200000000000002, 0.677, -0.20900000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045086E9, 0.0, 2023-01-07 14:37:39.045
86.0, -31302.366411968043, -29080.155978221417, -33399.31766978713, -25880.906090844404, -30335.988740442845, -28333.093623291687, -34858.774823996406, -29579.583356330797, -25261.181624076562, -3731.4225711134163, -33371.91443108492, -35187.971316334166, -18372.083410273008, -18468.64294631993, -32393.533872787226, -31236.652283269443, -0.14200000000000002, 0.677, -0.20900000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045091E9, 0.0, 2023-01-07 14:37:39.045
88.0, -31308.602548671075, -29082.346449178036, -33415.74620196178, -25857.59322137752, -30342.224877145873, -28311.948873036967, -34861.144108908666, -29542.524164023896, -25297.7714297499, -3692.888163672467, -33384.78903589118, -35137.210504676164, -18384.19805576778, -18473.47092312228, -32397.490131555813, -31197.872006639485, -0.167, 0.7935000000000001, -0.23850000000000002, 192.0, 125.0, 0.0, 14.0, 56.0, 123.5, 80.0, 0.0, 0.0, 0.0, 1.6731202590450957E9, 0.0, 2023-01-07 14:37:39.045
90.0, -31312.82702837313, -29096.271585973693, -33401.84341691058, -25895.747649162728, -30342.783670757257, -28350.23741128891, -34867.53670782289, -29592.100333225768, -25277.699563229035, -3749.0357457441983, -33384.05142832416, -35193.89452861482, -18378.476009187223, -18482.99276626024, -32400.529968801737, -31238.529829803687, -0.167, 0.7935000000000001, -0.23850000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451007E9, 0.0, 2023-01-07 14:37:39.045
92.0, -31311.10594405007, -29090.571891137588, -33416.84143744009, -25865.483387170243, -30341.129641667565, -28316.41922192803, -34859.44537633006, -29541.85361169024, -25302.174723407596, -3711.663629014925, -33396.188425563385, -35162.020941021554, -18380.822942355033, -18474.99084174524, -32407.615471794066, -31209.78548643416, -0.167, 0.7935000000000001, -0.23850000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451083E9, 0.0, 2023-01-07 14:37:39.045
94.0, -31313.25171151778, -29098.685574374864, -33400.547015732176, -25905.09067834505, -30340.48144107836, -28349.65626593307, -34864.228649643504, -29590.423952391622, -25275.15146436113, -3727.68982978938, -33381.77155038971, -35184.618554665874, -18363.321526446525, -18472.710963810798, -32400.08293391263, -31228.382137820976, -0.167, 0.7935000000000001, -0.23850000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045113E9, 0.0, 2023-01-07 14:37:39.045
96.0, -31333.502391994287, -29108.743859379752, -33435.72866150483, -25884.817646124084, -30351.210278416907, -28327.684501133503, -34865.99443745547, -29551.80013797285, -25291.937624447066, -3730.662611801936, -33413.868655427534, -35187.568984933976, -18383.21457901175, -18491.03939426415, -32420.51242834478, -31234.551219290643, -0.167, 0.7935000000000001, -0.23850000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045118E9, 0.0, 2023-01-07 14:37:39.045
98.0, -31321.72302266634, -29099.624347641988, -33398.445951753376, -25903.771925422185, -30339.788537000244, -28342.548411196283, -34844.51441103392, -29585.975955245016, -25288.741324989955, -3727.958050722844, -33396.72486743032, -35185.19970002171, -18370.00469803866, -18476.175484201372, -32404.061544425673, -31233.120707645503, -0.1775, 0.8547500000000001, -0.25025000000000003, 192.0, 125.0, 16.0, 14.0, 80.0, 123.5, 104.0, 0.0, 0.0, 0.0, 1.673120259045123E9, 0.0, 2023-01-07 14:37:39.045
100.0, -31322.035947088716, -29090.86246381551, -33422.47407704283, -25864.678724369853, -30351.925534239475, -28304.550445622262, -34849.476498302996, -29533.158783097126, -25295.938586704564, -3720.3808093524945, -33396.12137033002, -35178.78474936304, -18382.16404702235, -18485.13853372795, -32402.83219848063, -31221.90013192894, -0.1775, 0.8547500000000001, -0.25025000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045128E9, 0.0, 2023-01-07 14:37:39.045
102.0, -31305.897987591983, -29085.296879446138, -33394.377934262506, -25892.17137004988, -30337.642769532536, -28334.770004125836, -34838.3229778198, -29580.61153657574, -25292.988156436462, -3724.5382338211816, -33387.58300394809, -35162.62443812185, -18383.840427856496, -18471.638080076944, -32401.60285253559, -31218.21209409381, -0.1775, 0.8547500000000001, -0.25025000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045133E9, 0.0, 2023-01-07 14:37:39.045
104.0, -31306.032098058713, -29080.93828927735, -33412.70636471586, -25852.429968408345, -30361.894412266545, -28300.214207197932, -34835.41725104061, -29530.49892550694, -25288.47310405649, -3729.8355972570894, -33391.80748365015, -35182.74100813163, -18390.36713723745, -18474.43204813386, -32405.46970432636, -31225.074079641592, -0.1775, 0.8547500000000001, -0.25025000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045138E9, 0.0, 2023-01-07 14:37:39.045
106.0, -31288.038943772193, -29071.818777539585, -33371.869727596015, -25866.82449183756, -30331.250170618317, -28319.749631851868, -34847.308379090835, -29569.927402726105, -25265.137882845152, -3685.556791491126, -33366.17003275991, -35127.4427923492, -18371.01052653915, -18439.608030272488, -32380.771026703245, -31179.990611075238, -0.1775, 0.8547500000000001, -0.25025000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045143E9, 0.0, 2023-01-07 14:37:39.045
108.0, -31327.489772735807, -29102.32890872108, -33425.17863812192, -25869.529052916652, -30337.933342210454, -28321.06838477473, -34890.42489414512, -29568.876870736705, -25290.641223268656, -3745.1018387200643, -33395.786094163195, -35192.82164488097, -18392.40114598288, -18477.293071424137, -32408.911872972476, -31230.66201575542, -0.1775, 0.8547500000000001, -0.25025000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045148E9, 0.0, 2023-01-07 14:37:39.045
110.0, -31308.513141693253, -29093.656431872423, -33400.50231224326, -25890.852617127017, -30333.686510763946, -28341.520230951337, -34873.75049278146, -29600.281071696412, -25304.566360064313, -3703.505242288738, -33398.647117453474, -35145.72651931364, -18391.283558760115, -18466.139550940938, -32404.08389617013, -31203.325832286577, -0.18, 0.908, -0.268, 192.0, 125.0, 48.0, 14.0, 48.0, 123.5, 80.0, 0.0, 0.0, 0.0, 1.6731202590451543E9, 0.0, 2023-01-07 14:37:39.045
112.0, -31320.82895288813, -29097.210359240817, -33423.43520205441, -25876.055762297605, -30343.72244402438, -28323.79529759828, -34872.52114683642, -29571.335562626788, -25286.260281355415, -3759.2951964491845, -33403.13981808899, -35211.21713056769, -18398.279654774626, -18496.448516422333, -32410.476495084346, -31244.542449062166, -0.18, 0.908, -0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451598E9, 0.0, 2023-01-07 14:37:39.045
114.0, -31293.604528141565, -29076.534995619655, -33389.43819873789, -25884.12474204597, -30322.018900158277, -28327.617445900138, -34843.262713344426, -29582.46673136553, -25295.782124493377, -3696.2856288296734, -33390.08639932709, -35136.11526919786, -18382.231102255715, -18468.64294631993, -32395.41141932147, -31190.719448413784, -0.18, 0.908, -0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451648E9, 0.0, 2023-01-07 14:37:39.045
116.0, -31320.82895288813, -29096.360992951515, -33416.77438220673, -25888.326870003566, -30337.776879999266, -28323.214152242443, -34861.23351588649, -29569.81564400383, -25267.462464268505, -3759.0269755157206, -33385.45958822484, -35207.97612762167, -18370.362325949947, -18482.83630404905, -32391.343401830603, -31234.998254179747, -0.18, 0.908, -0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67312025904517E9, 0.0, 2023-01-07 14:37:39.045
118.0, -31318.459667975865, -29100.496065675747, -33411.87935017102, -25907.16939057939, -30338.492135821838, -28338.055710560766, -34859.3783210967, -29593.79906580437, -25309.662557800122, -3713.8317482270895, -33407.99014663579, -35155.13660372932, -18379.72770687672, -18479.729411569766, -32404.687393270422, -31207.684422455364, -0.18, 0.908, -0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451753E9, 0.0, 2023-01-07 14:37:39.045
120.0, -31331.49073499331, -29110.509647191724, -33429.7383939908, -25900.463867242797, -30358.765168042803, -28334.27826574782, -34871.627077058205, -29588.591109346286, -25292.496418058447, -3780.037615303709, -33409.17478909192, -35235.55818027952, -18388.176666280826, -18503.37755720348, -32415.103306186596, -31266.827138284105, -0.186, 0.896, -0.28, 192.0, 125.0, 24.0, 14.0, 0.0, 123.5, 32.0, 0.0, 0.0, 0.0, 1.67312025904518E9, 0.0, 2023-01-07 14:37:39.045
122.0, -31309.451914960377, -29089.789580081655, -33409.2865478142, -25882.850692612017, -30347.52224058178, -28319.302596962763, -34848.04598665786, -29580.991516231483, -25307.494438587957, -3698.9678381643107, -33405.12912334551, -35148.20756294818, -18386.83556161351, -18473.89560626693, -32404.64268978151, -31199.190759562345, -0.186, 0.896, -0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045185E9, 0.0, 2023-01-07 14:37:39.045
124.0, -31332.831839660626, -29111.291958247657, -33421.937635175906, -25894.317137517588, -30367.124720469084, -28333.205382013963, -34878.86904226173, -29597.844731550784, -25293.837522725764, -3761.9997575282764, -33399.29531804268, -35224.38230805186, -18399.39724199739, -18501.81293509161, -32406.766105504765, -31256.18770792338, -0.186, 0.896, -0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451915E9, 0.0, 2023-01-07 14:37:39.045
126.0, -31323.645272689497, -29103.714716877308, -33418.11548687404, -25885.018811824182, -30339.565019555692, -28330.389062212595, -34887.027428987916, -29594.46961813803, -25317.999758481954, -3695.346855562551, -33412.415792037944, -35153.303760683986, -18412.11538459246, -18489.340661685546, -32413.69514628591, -31205.203378820825, -0.186, 0.896, -0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590451965E9, 0.0, 2023-01-07 14:37:39.045
128.0, -31316.649176674986, -29099.266719730702, -33405.57615823462, -25884.258852512703, -30334.29000786424, -28329.1373645231, -34874.5328038374, -29595.09546698278, -25285.969708677498, -3759.496362149282, -33397.238957552785, -35223.46588652919, -18391.77529713813, -18496.336757700057, -32411.147047418006, -31254.958361978337, -0.186, 0.896, -0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590452015E9, 0.0, 2023-01-07 14:37:39.045
130.0, -31289.55886239515, -29068.130739704462, -33387.47124522582, -25842.863421781472, -30323.225894358864, -28289.127741948098, -34836.8701144302, -29546.234553603477, -25296.89971171614, -3666.2672360261963, -33384.20789053534, -35120.80432424597, -18379.124209776426, -18449.97923969975, -32394.942032687908, -31173.82152960557, -0.198, 0.9, -0.28600000000000003, 192.0, 124.5, 104.0, 14.0, 16.0, 123.5, 8.0, 0.0, 0.0, 0.0, 1.6731202590452068E9, 0.0, 2023-01-07 14:37:39.045
132.0, -31299.19246425539, -29076.356181664014, -33381.19040503388, -25867.11506451548, -30341.979007956867, -28314.87695156061, -34848.26950410241, -29577.37053362972, -25261.539251987848, -3717.7209517623132, -33364.78422460368, -35175.38728420583, -18369.512959660646, -18459.478731093255, -32390.136407630016, -31217.340376060056, -0.198, 0.9, -0.28600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120259045212E9, 0.0, 2023-01-07 14:37:39.045
134.0, -31320.739545910306, -29090.46013241531, -33399.071800598125, -25862.30943945759, -30355.18888892995, -28306.13741947859, -34869.2801438904, -29558.349199098255, -25304.991043208964, -3677.3089977871177, -33384.31964925762, -35120.938434712705, -18385.40504996837, -18455.88010023595, -32405.961442704374, -31177.643677907432, -0.198, 0.9, -0.28600000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731202590452192E9, 0.0, 2023-01-07 14:37:39.045
