%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 4612.4389305638, -4583.426366260811, -32308.01609850122, -19119.950428003125, -6113.045646315294, 19982.839522700255, 34081.15763439627, 23806.53009492518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.662677350011196E9, 0.0, 2022-09-08 18:49:10.011
46.0, 4600.637209491398, -4591.629456475908, -32323.572912642114, -19142.12335850279, -6135.9114808930735, 19976.96101390851, 34155.834812621455, 23795.510684908713, -4498.467385586189, -3839.7614764882896, -19274.222168233653, -28376.277193579343, 1489.184974334833, -7458.9782904360645, -11416.421701481546, -4540.220444228702, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626773500112011E9, 0.0, 2022-09-08 18:49:10.011
48.0, 4610.226107862724, -4592.300008809568, -32309.826589802098, -19129.181698463166, -6119.728817907431, 19981.833694199766, 34081.85053847439, 23775.885853276952, -4518.2933829180465, -3860.481543598359, -19294.495200454618, -28390.58231003074, 1470.409508992375, -7479.854819757322, -11437.45469301399, -4562.61689217292, 0.2, 0.91, 0.27, 192.0, 3.0, 32.0, 14.0, 56.0, 4.0, 56.0, 0.0, 0.0, 0.0, 1.6626773500112054E9, 0.0, 2022-09-08 18:49:10.011
50.0, 4602.715921725741, -4598.469090279233, -32325.383403942993, -19137.653009611728, -6138.16900708306, 19959.794874166833, 34114.64054759032, 23764.642925815933, -4514.22536542718, -3858.2910726417394, -19283.38638346033, -28377.7971122023, 1478.2102678072772, -7472.121116175786, -11435.130111590637, -4559.487647949177, 0.2, 0.91, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626773500112095E9, 0.0, 2022-09-08 18:49:10.011
52.0, 4600.793671702584, -4593.507003010154, -32314.319290437616, -19133.36147467631, -6141.9017484070955, 19949.84834788422, 34096.28976539252, 23751.99183845423, -4519.701542818731, -3854.1783516619626, -19294.472848710164, -28385.173187872555, 1461.0441280656014, -7485.666273315701, -11447.848254185708, -4581.19119181528, 0.2, 0.91, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626773500112138E9, 0.0, 2022-09-08 18:49:10.011
54.0, 4606.828642705517, -4592.344712298478, -32312.9781857703, -19136.98245727807, -6140.02420187285, 19964.84636841373, 34118.9544342702, 23771.191986941336, -4506.581068823465, -3857.866389497088, -19286.24740675061, -28382.915661682568, 1471.9964828487018, -7476.323244133383, -11438.974611636952, -4574.642130689876, 0.2, 0.91, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.662677350011218E9, 0.0, 2022-09-08 18:49:10.011
56.0, 4601.665389736341, -4595.228087333213, -32314.29693869316, -19140.089349757356, -6134.145693081105, 19963.0135253684, 34112.38302140034, 23753.288239632635, -4517.555775351021, -3857.844037752633, -19287.499104440107, -28386.156664628586, 1468.7331281582271, -7474.848028999332, -11430.97268712195, -4576.676139435308, 0.2, 0.91, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626773500112221E9, 0.0, 2022-09-08 18:49:10.011
58.0, 4602.425349047822, -4590.24364831968, -32319.326081195606, -19141.631620124772, -6132.223443057948, 19959.817225911287, 34118.574454614456, 23714.7985356806, -4510.000885725127, -3865.9353692454542, -19288.14730502931, -28389.57648153025, 1466.185029290322, -7479.541895334947, -11435.666553457566, -4580.922970881817, 0.202, 0.918, 0.272, 192.0, 3.0, 40.0, 14.0, 88.0, 4.0, 64.0, 0.0, 0.0, 0.0, 1.6626773500112264E9, 0.0, 2022-09-08 18:49:10.011
60.0, 4610.561384029554, -4590.802441931062, -32313.067592748117, -19127.237096695557, -6132.268146546859, 19977.922138920087, 34131.51611465408, 23795.19776048634, -4507.251621157125, -3851.697308027424, -19277.686688624228, -28378.355905813685, 1483.798203921104, -7473.864552243299, -11421.02616083934, -4571.602293443953, 0.202, 0.918, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626773500112307E9, 0.0, 2022-09-08 18:49:10.011
62.0, 4615.232898620713, -4584.990988372682, -32310.09481073556, -19124.68899782765, -6132.759884924875, 19978.52563602038, 34125.279977951046, 23777.919862022383, -4508.79389152454, -3857.888741241544, -19277.887854324326, -28379.741713969914, 1471.415337492864, -7463.739212005045, -11422.5460794623, -4556.514865936621, 0.202, 0.918, 0.272, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6626773500112348E9, 0.0, 2022-09-08 18:49:10.011
