%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
46.0, -31465.198870324955, -28571.60908837427, -33733.498601138424, -26109.676195344473, -30120.763793082693, -28056.35667519053, -34425.44155424137, -29014.3971460339, -25285.5673772773, -3715.463425572327, -33085.521529379075, -35102.72176298163, -18297.741508214654, -18130.30459049995, -31911.60791058635, -30955.824965932963, -0.258, 0.866, -0.342, 192.0, 123.5, 120.0, 13.5, 8.0, 122.5, 40.0, 0.0, 0.0, 0.0, 1.6731203159276645E9, 0.0, 2023-01-07 14:38:35.927
48.0, -31435.046367054747, -28540.473108348026, -33707.61528105918, -26070.091255914125, -30097.786199782637, -28017.911674727402, -34387.24242296725, -28975.706276381767, -25315.362252636227, -3619.865014536979, -33089.2095672142, -34996.43921809664, -18305.877543196388, -18102.476668653093, -31901.527273837004, -30887.138055221803, -0.258, 0.866, -0.342, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159276707E9, 0.0, 2023-01-07 14:38:35.927
50.0, -31431.917122831004, -28543.60235257177, -33695.835911731236, -26085.290442143734, -30107.844484787525, -28024.773660275183, -34392.696248614346, -28987.910328854363, -25273.273917826882, -3680.371186777495, -33055.525488320054, -35076.34670452437, -18279.480132994668, -18097.380470917284, -31878.46027355913, -30921.157410282784, -0.258, 0.866, -0.342, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120315927676E9, 0.0, 2023-01-07 14:38:35.927
52.0, -31428.542009418252, -28538.99789321398, -33703.5025600794, -26060.703523242897, -30089.18077816734, -28004.008889676203, -34409.48240870028, -28970.16304375685, -25299.112534417218, -3610.030246976644, -33072.088130961434, -34987.02913368096, -18297.406232047826, -18091.90429352573, -31889.50203532005, -30875.24692717158, -0.258, 0.866, -0.342, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159276814E9, 0.0, 2023-01-07 14:38:35.927
54.0, -31451.2737335293, -28563.83068130382, -33700.59683330022, -26100.713145817896, -30086.498568832707, -28038.69879707084, -34415.71854540331, -29015.492381512213, -25280.04649639684, -3679.9688553772994, -33066.299029147514, -35071.94341086667, -18281.111810339906, -18114.457203681137, -31875.55454677994, -30920.486857949123, -0.258, 0.866, -0.342, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159276867E9, 0.0, 2023-01-07 14:38:35.927
56.0, -31450.871402129105, -28556.7898818004, -33718.969967242476, -26071.745285003817, -30093.069981702567, -28011.74259325774, -34415.897359358954, -28973.605212402967, -25319.899656760652, -3633.6113373769927, -33095.84803531743, -35006.65396531272, -18304.49173504016, -18116.044177537464, -31893.234776644087, -30880.49958711858, -0.25, 0.874, -0.34400000000000003, 192.0, 124.0, 24.0, 13.5, 40.0, 122.5, 32.0, 0.0, 0.0, 0.0, 1.673120315927692E9, 0.0, 2023-01-07 14:38:35.927
58.0, -31457.442814998965, -28575.967678543053, -33708.79992351531, -26122.863724573104, -30089.448999100805, -28047.393625663954, -34419.38423149398, -29020.02978563664, -25286.841426711253, -3691.6588177274252, -33082.32522992197, -35075.65380044625, -18287.75027844313, -18122.995570063063, -31888.719724264116, -30912.797857856498, -0.25, 0.874, -0.34400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159276977E9, 0.0, 2023-01-07 14:38:35.927
60.0, -31474.161919851533, -28584.32723096934, -33744.272141965885, -26107.329262176667, -30107.91154002089, -28028.238180665754, -34424.9274641189, -28987.351535242982, -25326.895752775166, -3676.437279753361, -33109.12497152388, -35041.67914887419, -18300.75899371612, -18139.245288282073, -31910.915006508236, -30896.77165708204, -0.25, 0.874, -0.34400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120315927703E9, 0.0, 2023-01-07 14:38:35.927
62.0, -31472.46318727293, -28592.060934550875, -33723.306205666806, -26155.139643566567, -30105.788124297636, -28059.955306047836, -34416.746725648256, -29031.563285775577, -25307.516790332415, -3714.3234866051066, -33100.09486676394, -35092.95405065466, -18295.104002368927, -18146.330791274406, -31909.238625674087, -30931.528619710043, -0.25, 0.874, -0.34400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159277081E9, 0.0, 2023-01-07 14:38:35.927
64.0, -31465.08711160268, -28568.41278891716, -33729.92232202558, -26090.096067201623, -30094.746362536713, -28005.68527051035, -34393.99264979275, -28964.01631403164, -25327.834526042287, -3687.0767101140873, -33111.96364306971, -35060.678131661196, -18304.603493762435, -18144.74381741808, -31914.290119920985, -30911.479104933635, -0.25, 0.874, -0.34400000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159277136E9, 0.0, 2023-01-07 14:38:35.927
66.0, -31449.239724783867, -28562.623687103238, -33692.416094829576, -26121.88024781707, -30081.983516452732, -28031.278017911678, -34385.498986899736, -29005.523503485147, -25304.25343564194, -3669.9105703724113, -33079.21833744268, -35048.854058844336, -18278.295490538538, -18124.58254391939, -31883.35530559484, -30899.096238505394, -0.262, 0.868, -0.34800000000000003, 192.0, 123.5, 104.0, 13.5, 16.0, 122.5, 16.0, 0.0, 0.0, 0.0, 1.673120315927719E9, 0.0, 2023-01-07 14:38:35.927
68.0, -31451.072567829204, -28553.772396298933, -33712.66677530608, -26081.222424652868, -30098.367345138475, -28002.06428790859, -34376.0665507396, -28957.7354738397, -25307.360328121227, -3663.2944540136405, -33088.20373871371, -35048.87641058879, -18289.516066255102, -18128.628209665803, -31892.65363128825, -30905.77941009753, -0.262, 0.868, -0.34800000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731203159277244E9, 0.0, 2023-01-07 14:38:35.927
