%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
254.0, -30204.35931734554, -28066.66082938443, -32488.752304166832, -27412.38056568868, -30697.058820373873, -28889.093266617452, -36093.57459468539, -31304.221606757834, -25352.421444943124, -5138.978974697468, -34401.43578069637, -36551.561838574635, -18700.296425854736, -19420.89431534938, -33267.06239784508, -31704.004908085455, -0.242, 0.928, -0.124, 192.0, 124.0, 56.0, 14.5, 0.0, 126.0, 16.0, 0.0, 0.0, 0.0, 1.6731201675340931E9, 0.0, 2023-01-07 14:36:07.534
0.0, -30202.302956855652, -28060.491747914763, -32498.14003683806, -27393.582748601766, -30705.932462922632, -28861.48886221515, -36071.53577465245, -31260.121614947515, -25319.787898038376, -5156.189817928054, -34376.75945481771, -36566.71632131533, -18678.16819884398, -19412.020672800623, -33242.81075511107, -31714.510227979452, -0.242, 0.928, -0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120167534103E9, 0.0, 2023-01-07 14:36:07.534
2.0, -30174.944421642354, -28034.384910390963, -32478.448149972937, -27394.432114891068, -30714.873160704752, -28865.19925179473, -36042.120878949274, -31273.867937787527, -25328.7285958205, -5102.657389957594, -34372.490271626746, -36510.76990494369, -18687.3100623262, -19389.780687067592, -33231.43371718332, -31672.153672236644, -0.242, 0.928, -0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731201675341375E9, 0.0, 2023-01-07 14:36:07.534
4.0, -30189.49540728276, -28047.371273919496, -32503.213882829416, -27410.637129621166, -30717.220093872562, -28876.799807167034, -36079.89532707874, -31286.47432166032, -25307.315624632316, -5148.187893413055, -34364.80127153412, -36551.00304496325, -18690.953396672416, -19407.483268676195, -33246.029406312635, -31734.47033577804, -0.242, 0.928, -0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731201675342057E9, 0.0, 2023-01-07 14:36:07.534
6.0, -30181.649944978948, -28038.74350055975, -32502.655089218035, -27423.04234779386, -30716.25896886098, -28881.359563035916, -36066.81955657239, -31302.746391623783, -25345.179479739607, -5108.290029560331, -34389.14232124595, -36517.117800369, -18686.50539952581, -19402.990568040677, -33265.83305190004, -31718.600597214772, -0.242, 0.928, -0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731201675342245E9, 0.0, 2023-01-07 14:36:07.534
8.0, -30189.54011077167, -28047.594791364052, -32517.25077834735, -27439.582638690787, -30708.50291353499, -28876.6656967003, -36092.322896995895, -31307.462609703853, -25302.10766817423, -5142.890529977147, -34368.60106809152, -36550.39954786296, -18677.49764651032, -19401.090669761976, -33277.411255527884, -31764.265211136964, -0.232, 0.924, -0.11800000000000001, 192.0, 124.0, 96.0, 14.0, 112.0, 126.0, 40.0, 0.0, 0.0, 0.0, 1.673120167534233E9, 0.0, 2023-01-07 14:36:07.534
10.0, -30202.59352953357, -28064.425654938896, -32529.834810475688, -27463.431950024602, -30712.146247881206, -28880.465493257703, -36075.827309587876, -31315.263368518757, -25356.44475894508, -5127.8254542142695, -34410.443533711856, -36539.69306226886, -18709.99708294834, -19420.536687438096, -33308.10020066502, -31754.586905787815, -0.232, 0.924, -0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67312016753424E9, 0.0, 2023-01-07 14:36:07.534
12.0, -30175.10088385354, -28038.02824473718, -32496.888339148565, -27436.028711322393, -30696.634137229223, -28844.8591643404, -36020.90907346119, -31273.733827320797, -25312.367118879214, -5152.25591090392, -34377.7652833182, -36566.69396957087, -18686.32658557017, -19405.628073886404, -33276.74070319423, -31771.641286807215, -0.232, 0.924, -0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120167534248E9, 0.0, 2023-01-07 14:36:07.534
14.0, -30181.82875893459, -28044.666712840404, -32503.593862485155, -27435.17934503309, -30713.88968394872, -28846.71435913019, -36033.62721605626, -31274.918469776927, -25336.372892424213, -5096.91299163258, -34388.7176381013, -36516.35784105752, -18698.240065364847, -19386.40557365484, -33259.663970430374, -31709.190512799087, -0.232, 0.924, -0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6731201675342557E9, 0.0, 2023-01-07 14:36:07.534
16.0, -30183.50513976874, -28048.399454164442, -32488.10410357763, -27439.560286946333, -30710.156942624682, -28868.306144274015, -36041.47267836007, -31300.91354857845, -25313.462354357525, -5153.619367315694, -34380.7157135863, -36566.1798794484, -18676.93885289894, -19405.98570179769, -33257.40644424038, -31749.0436731629, -0.232, 0.924, -0.11800000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673120167534264E9, 0.0, 2023-01-07 14:36:07.534
