%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
44.0, -17643.43889277445, -17433.17603268338, -33851.56051535136, -26890.75790533518, -10271.855923158637, -8011.893393026995, -17673.725506511393, -1420.0733804790236, -26055.517918529265, 1667.6413020660045, -17933.676294526613, -25365.452511960568, -7010.490537940328, -309.5493089615475, -14526.868108137622, -22242.35501794279, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227393446E9, 0.0, 2023-01-06 17:50:22.739
46.0, -17669.92570995399, -17450.900966036435, -33876.32624820784, -26900.9503008068, -10297.761594982338, -8047.1420940330145, -17707.141364472078, -1427.0694764935347, -26073.10874141559, 1635.0748103946223, -17959.492559372495, -25430.786661003433, -7021.174671789965, -319.629945710891, -14540.569727488724, -22256.146044271714, -0.324, 0.8220000000000001, 0.17200000000000001, 192.0, 122.5, 112.0, 12.5, 88.0, 2.5, 48.0, 0.0, 0.0, 0.0, 1.6730454227393508E9, 0.0, 2023-01-06 17:50:22.739
48.0, -17701.084041724687, -17473.476227936295, -33901.40490548669, -26917.714109148277, -10312.625505045116, -8071.572550722665, -17729.470757182928, -1445.2637964801547, -26092.085372458147, 1609.6832286933934, -17982.76072535047, -25432.775966259953, -7049.695497714937, -345.11093438994106, -14562.87676845512, -22282.16347481769, -0.324, 0.8220000000000001, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227393556E9, 0.0, 2023-01-06 17:50:22.739
50.0, -17709.26478019533, -17470.592852901562, -33911.217321302574, -26912.975539323754, -10305.249429374866, -8064.487047730333, -17712.975169774913, -1432.2327294627107, -26110.45850640041, 1581.3188649796089, -17992.975472566544, -25501.775801393487, -7056.535131518261, -350.4082978258488, -14566.7883237348, -22290.858303410805, -0.324, 0.8220000000000001, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227393606E9, 0.0, 2023-01-06 17:50:22.739
52.0, -17715.903248298557, -17474.66087039243, -33914.771248670964, -26911.45562070079, -10308.244563131877, -8064.576454708154, -17714.830364564703, -1425.2813369371102, -26113.92302679098, 1587.152670282444, -17989.17567600914, -25478.865263326796, -7061.228997853876, -361.4277078423152, -14565.246053367384, -22290.634785966253, -0.324, 0.8220000000000001, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227393668E9, 0.0, 2023-01-06 17:50:22.739
54.0, -17716.327931443207, -17466.323669710597, -33919.62157721777, -26899.56449265057, -10307.70812126495, -8065.917559375473, -17709.153021473056, -1421.4591886352528, -26111.55374187872, 1571.7746700971927, -17989.89093183171, -25530.81071744093, -7061.87719844308, -379.5102691066586, -14557.937032930498, -22290.768896432986, -0.324, 0.8220000000000001, 0.17200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227393715E9, 0.0, 2023-01-06 17:50:22.739
56.0, -17699.809992290735, -17443.39077989945, -33913.29603353692, -26877.659783084368, -10303.729510751906, -8069.180914065947, -17704.928541771, -1407.6011070729623, -26102.747154563327, 1600.0049233442455, -17980.257329971475, -25481.011030794507, -7063.978262421878, -368.9155422348431, -14558.205253863962, -22282.722268429075, -0.28800000000000003, 0.782, 0.136, 192.0, 123.5, 0.0, 12.0, 56.0, 2.0, 32.0, 0.0, 0.0, 0.0, 1.6730454227393763E9, 0.0, 2023-01-06 17:50:22.739
58.0, -17698.714756812424, -17431.097320449033, -33905.78584739994, -26859.93484973131, -10296.554600781752, -8056.127495304048, -17695.317291655218, -1417.9276130113142, -26100.64609058453, 1598.082673321089, -17976.211664225062, -25511.23058929808, -7057.585663507661, -354.7668879946337, -14543.609564734646, -22272.015782834984, -0.28800000000000003, 0.782, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227393813E9, 0.0, 2023-01-06 17:50:22.739
60.0, -17674.530169311784, -17398.620235755472, -33890.34079198132, -26834.02917790761, -10280.886027918581, -8045.912748087972, -17710.427070907008, -1379.124984636901, -26070.895918714516, 1626.2682230792313, -17948.584908078305, -25450.433844379648, -7047.549730247228, -336.1478848633629, -14530.44438725047, -22255.87782333825, -0.28800000000000003, 0.782, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673045422739386E9, 0.0, 2023-01-06 17:50:22.739
62.0, -17673.39023034456, -17384.650395470904, -33874.13577725122, -26815.45487826525, -10273.822876670703, -8026.77965483423, -17712.192858718976, -1366.5856559974739, -26065.911479700982, 1624.2342143337983, -17937.230221895006, -25470.12573124477, -7034.228090551865, -324.6590882133351, -14528.186861060485, -22240.566878386366, -0.28800000000000003, 0.782, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673045422739391E9, 0.0, 2023-01-06 17:50:22.739
64.0, -17625.468090232385, -17332.548479145586, -33822.79382023738, -26765.789302085555, -10231.846300583638, -7996.604799819565, -17628.709093178404, -1359.7907256830604, -26037.368302031555, 1661.3828136185186, -17899.411070276627, -25409.016061903963, -7003.29327622572, -310.4210269953045, -14493.116974010109, -22216.33758739681, -0.28800000000000003, 0.782, 0.136, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.673045422739396E9, 0.0, 2023-01-06 17:50:22.739
66.0, -17622.987046597846, -17323.20544996327, -33804.3759828062, -26750.634819344858, -10213.719035830383, -7984.825430491618, -17650.859671933613, -1331.381658480365, -26011.060298807657, 1672.8939620130018, -17865.68228789357, -25409.530152026437, -6971.598502588094, -285.56588716100305, -14455.029601458265, -22194.544636552888, -0.3, 0.788, 0.128, 192.0, 123.0, 80.0, 12.0, 80.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.6730454227394009E9, 0.0, 2023-01-06 17:50:22.739
